page_id,route,meta_title_es,meta_description_es,meta_title_en,meta_description_en
home,/,"Flint Racks | Soluciones de Racks Industriales en México","Diseñamos, fabricamos e instalamos racks industriales para optimizar seguridad, capacidad y eficiencia operativa en tu almacén.","Flint Racks | Industrial Racking Solutions in Mexico","We design, manufacture, and install industrial racking systems to optimize safety, capacity, and operational efficiency in your warehouse."
about,/about,"Nosotros | Flint Racks","Conoce la experiencia, visión y valores de Flint Racks para proyectos de almacenamiento industrial en todo México.","About Us | Flint Racks","Learn about Flint Racks’ experience, vision, and values for industrial storage projects across Mexico."
services,/services,"Servicios | Racks Prediseñados y Personalizados | Flint Racks","Descubre nuestros servicios: racks prediseñados, racks personalizados, materiales de clase mundial y acompañamiento integral.","Services | Predesigned and Custom Racks | Flint Racks","Discover our services: predesigned racks, custom racks, world-class materials, and end-to-end project support."
coverage,/cobertura,"Cobertura Nacional | Flint Racks","Tenemos cobertura en puntos estratégicos de México para instalación, soporte y mantenimiento de sistemas de racks industriales.","National Coverage | Flint Racks","We provide coverage at strategic points across Mexico for installation, support, and maintenance of industrial racking systems."
blog,/blog,"Blog | Tendencias y Buenas Prácticas de Almacenamiento | Flint Racks","Explora artículos sobre seguridad, diseño, logística y mejores prácticas para sistemas de almacenamiento industrial.","Blog | Storage Trends and Best Practices | Flint Racks","Explore articles on safety, design, logistics, and best practices for industrial storage systems."
blog_post,/blog/:slug,"Artículo del Blog | Flint Racks","Lee análisis y recomendaciones para optimizar operaciones de almacenamiento industrial.","Blog Article | Flint Racks","Read insights and recommendations to optimize industrial storage operations."
faqs,/faqs,"Preguntas Frecuentes | Flint Racks","Resuelve tus dudas sobre servicios, tiempos de entrega, cobertura, mantenimiento y cotización de proyectos.","Frequently Asked Questions | Flint Racks","Find answers about services, delivery times, coverage, maintenance, and project quotations."
contact,/contact,"Contacto | Cotiza tu Proyecto | Flint Racks","Contáctanos para cotizar tu proyecto de racks industriales. Atención comercial de lunes a viernes de 9:00 a 18:00 hrs.","Contact | Quote Your Project | Flint Racks","Contact us to quote your industrial racking project. Business hours: Monday to Friday, 9:00 to 18:00."
privacy,/privacy,"Política de Privacidad | Flint Racks","Consulta cómo recopilamos, usamos y protegemos tus datos personales en Flint Racks.","Privacy Policy | Flint Racks","Learn how Flint Racks collects, uses, and protects your personal data."
terms,/terms,"Términos de Servicio | Flint Racks","Revisa los términos y condiciones de uso del sitio web y los contenidos de Flint Racks.","Terms of Service | Flint Racks","Review the terms and conditions for using Flint Racks’ website and content."
not_found,*,"Página no encontrada | Flint Racks","La página solicitada no está disponible. Regresa al inicio para continuar navegando.","Page Not Found | Flint Racks","The requested page is not available. Return to the homepage to continue browsing."
