key,es,en,source
about.cta.bg_text,CONTÁCTANOS,CONTACT US,i18n
about.cta.btn,Cotizar Proyecto,Quote Project,i18n
about.cta.description,Contáctanos para una consultoría gratuita y evaluación de tu almacén.,Contact us for a free consultation and warehouse evaluation.,i18n
about.cta.title,INICIA TU PROYECTO HOY,START YOUR PROJECT TODAY,i18n
about.gallery.img1,Industria automotriz,Automotive industry,i18n
about.gallery.img2,Industria alimentaria,Food industry,i18n
about.gallery.img3,Logística,Logistics,i18n
about.gallery.img4,Manufactura,Manufacturing,i18n
about.gallery.img5,Farmacéutica,Pharmaceutical,i18n
about.gallery.img6,Retail,Retail,i18n
about.gallery.img7,Instalación,Installation,i18n
about.gallery.img8,Racks industriales,Industrial racks,i18n
about.hero.bg_text,NOSOTROS,ABOUT US,i18n
about.hero.cta,Contáctanos,Contact Us,i18n
about.hero.description,"Diseñamos, fabricamos e instalamos soluciones de racks industriales respaldadas por experiencia técnica y de campo.","We design, manufacture, and install industrial racking solutions backed by technical and field experience.",i18n
about.hero.mobile_subtitle,NOSOTROS,ABOUT US,i18n
about.hero.title_p1,NUESTRA VISIÓN ES,OUR VISION IS,i18n
about.hero.title_p2,CONSTRUIR,TO BUILD,i18n
about.hero.title_p3,TU FUTURO,YOUR FUTURE,i18n
about.mission.cta,Ver Nuestros Servicios,View Our Services,i18n
about.mission.p1,"Flint Racks nació de la convicción de que la eficiencia y la seguridad son la base de toda operación bien diseñada. Estamos enfocados en diseñar, fabricar e implementar racks industriales y soluciones de almacenamiento, respaldadas por conocimiento técnico y experiencia de campo.","Flint Racks was born from the conviction that efficiency and safety are the foundation of every well-designed operation. We are focused on designing, manufacturing, and implementing industrial racks and storage solutions, backed by technical knowledge and field experience.",i18n
about.mission.p2,"En un mundo donde las operaciones de las empresas dependen de su capacidad de organización, seguridad y optimización de espacio, nos convertimos en un socio estratégico. Hablamos de estructuras metálicas, pero también de confianza, respaldo y visión de crecimiento. Porque entendemos que cada rack sostiene mucho más que productos: sostiene la logística, la seguridad y la continuidad del negocio.","In a world where company operations depend on their organization capacity, safety, and space optimization, we become a strategic partner. We talk about metal structures, but also about trust, support, and a vision of growth. Because we understand that each rack holds much more than products: it holds logistics, security, and business continuity.",i18n
about.mission.subtitle,Quiénes Somos,Who We Are,i18n
about.mission.title,FUERZA ESTRUCTURAL QUE IMPULSA OPERACIONES,STRUCTURAL STRENGTH THAT DRIVES OPERATIONS,i18n
about.values.cta_btn,Ver Servicios,View Services,i18n
about.values.cta_desc,Conoce nuestros servicios y descubre cómo podemos optimizar tu operación.,Learn about our services and discover how we can optimize your operation.,i18n
about.values.cta_title,TRABAJA CON NOSOTROS,WORK WITH US,i18n
about.values.subtitle,Lo Que Nos Define,What Defines Us,i18n
about.values.title,VALORES DE MARCA,BRAND VALUES,i18n
about.values.v1_desc,"Estructuras confiables garantizadas, construidas para durar y rendir bajo condiciones exigentes.","Guaranteed reliable structures, built to last and perform under demanding conditions.",i18n
about.values.v1_title,SOLIDEZ,SOLIDITY,i18n
about.values.v2_desc,Diseño adaptado a tus necesidades operativas específicas y planes de crecimiento.,Design adapted to your specific operational needs and growth plans.,i18n
about.values.v2_title,INNOVACIÓN,INNOVATION,i18n
about.values.v3_desc,"Acompañamos a nuestros clientes en cada fase, desde el diseño hasta la operación.","We support our clients in every phase, from design to operation.",i18n
about.values.v3_title,COMPROMISO,COMMITMENT,i18n
about.values.v4_desc,"Maximizando espacio, tiempo y productividad en cada instalación.","Maximizing space, time, and productivity in each installation.",i18n
about.values.v4_title,EFICIENCIA,EFFICIENCY,i18n
about.values.v5_desc,"Cada rack protege no solo productos, sino toda tu operación empresarial.",Each rack protects not only products but your entire business operation.,i18n
about.values.v5_title,SEGURIDAD,SAFETY,i18n
admin_blogs.author_label,Autor,Author,i18n
admin_blogs.cancel,Cancelar,Cancel,i18n
admin_blogs.content_label,Contenido,Content,i18n
admin_blogs.create,Nueva Publicación,New Post,i18n
admin_blogs.date_label,Fecha,Date,i18n
admin_blogs.delete,Eliminar,Delete,i18n
admin_blogs.edit,Editar,Edit,i18n
admin_blogs.excerpt_label,Extracto,Excerpt,i18n
admin_blogs.login,Iniciar Sesión,Login,i18n
admin_blogs.logout,Cerrar Sesión,Logout,i18n
admin_blogs.save,Guardar,Save,i18n
admin_blogs.status_label,Estado,Status,i18n
admin_blogs.title,Panel de Administración,Admin Panel,i18n
admin_blogs.title_label,Título,Title,i18n
blog_page.all_articles,Todos los Artículos,All Articles,i18n
blog_page.back_to_blog,Volver al Blog,Back to Blog,i18n
blog_page.hero.bg_text,BLOG,BLOG,i18n
blog_page.hero.description,"Explora las últimas tendencias, consejos de seguridad y mejores prácticas en sistemas de almacenamiento industrial.","Explore the latest trends, safety tips, and best practices in industrial storage systems.",i18n
blog_page.hero.mobile_subtitle,BLOG,BLOG,i18n
blog_page.hero.title_p1,BLOG Y,BLOG &,i18n
blog_page.hero.title_p2,NOTICIAS,NEWS,i18n
blog_page.latest_article,Último Artículo,Latest Article,i18n
blog_page.no_posts,No se encontraron publicaciones.,No posts found.,i18n
blog_page.not_found,Artículo no encontrado,Article not found,i18n
blog_page.read_more,Leer Más,Read More,i18n
contact.faqs.a1,"Ofrecemos una gama completa que incluye rack selectivo, rack drive-in y drive-through, sistemas push-back, racks cantilever, soluciones de mezzanine y sistemas multinivel.","We offer a full range including selective rack, drive-in and drive-through rack, push-back systems, cantilever racks, mezzanine solutions, and multi-level systems.",i18n
contact.faqs.a2,Los tiempos de instalación varían según el alcance del proyecto. Una instalación estándar típicamente toma de 2 a 4 semanas. Ofrecemos planes de despliegue por fases para minimizar la interrupción.,Installation times vary by project scope. A standard installation typically takes 2 to 4 weeks. We offer phased deployment plans to minimize disruption.,i18n
contact.faqs.a3,"Sí, realizamos visitas técnicas de evaluación sin costo ni compromiso. Durante la visita, nuestros ingenieros evalúan el espacio y tus necesidades para elaborar una propuesta personalizada.","Yes, we perform evaluation technical visits at no cost or commitment. During the visit, our engineers evaluate the space and your needs to prepare a customized proposal.",i18n
contact.faqs.a4,Contamos con cobertura a nivel nacional. Tenemos presencia directa en los principales centros industriales del país y red de distribución que nos permite atender proyectos en cualquier estado.,We have national coverage. We have a direct presence in the main industrial centers of the country and a distribution network that allows us to serve projects in any state.,i18n
contact.faqs.q1,¿Qué tipos de sistemas de racks ofrecen?,What types of rack systems do you offer?,i18n
contact.faqs.q2,¿Cuánto tiempo toma una instalación típica?,How long does a typical installation take?,i18n
contact.faqs.q3,¿Ofrecen visitas técnicas sin costo?,Do you offer technical visits at no cost?,i18n
contact.faqs.q4,¿Tienen cobertura a nivel nacional?,Do you have national coverage?,i18n
contact.faqs.title_p1,PREGUNTAS,FREQUENTLY,i18n
contact.faqs.title_p2,FRECUENTES,QUESTIONS,i18n
contact.form.email,Correo Electrónico,Email Address,i18n
contact.form.message,Mensaje,Message,i18n
contact.form.name,Tu Nombre,Your Name,i18n
contact.form.phone,Teléfono,Phone,i18n
contact.form.subject,Asunto,Subject,i18n
contact.form.submit,Enviar,Send,i18n
contact.form.success,¡Gracias! Nos pondremos en contacto contigo pronto.,Thank you! We'll get in touch soon.,i18n
contact.form.terms,Acepto los términos y condiciones,I accept the terms and conditions,i18n
contact.form.terms_error,Debes aceptar los términos y condiciones.,You must accept the terms and conditions.,i18n
contact.hero.bg_text,CONTACTO,CONTACT,i18n
contact.hero.cta,Cotizar Ahora,Get a Quote,i18n
contact.hero.description,Nuestro equipo está listo para asesorarte en tu próximo proyecto de almacenamiento.,Our team is ready to advise you on your next storage project.,i18n
contact.hero.mobile_subtitle,CONTACTO,CONTACT,i18n
contact.hero.title_p1,ESTAMOS ,WE ARE ,i18n
contact.hero.title_p2,PARA ,HERE TO ,i18n
contact.hero.title_p3,AYUDARTE,HELP,i18n
contact.info.address_title,Dirección,Address,i18n
contact.info.address_value,"Ejército nacional No. 700 Piso 2 Interior 201, CDMX, México","Ejército nacional No. 700 Piso 2 Interior 201, CDMX, Mexico",i18n
contact.info.contact_title,Contáctanos,Contact Us,i18n
contact.info.hours_mon_fri,Lun – Vie: 9:00 – 18:00,Mon – Fri: 9:00 – 18:00,i18n
contact.info.hours_sat,Sábado y domingo: Cerrado,Saturday and Sunday: Closed,i18n
contact.info.hours_sun,Domingo: Cerrado,Sunday: Closed,i18n
contact.info.hours_title,Horario,Hours,i18n
coverage.faqs.a1,"Sí, contamos con cobertura en las principales ciudades y zonas industriales de México. Nuestro equipo de instalación se desplaza a cualquier punto del país para garantizar un servicio profesional y oportuno.","Yes, we have coverage in the main cities and industrial zones of Mexico. Our installation team travels anywhere in the country to guarantee a professional and timely service.",i18n
coverage.faqs.a2,"El tiempo de instalación varía según la ubicación y el tamaño del proyecto. Generalmente, para proyectos fuera de la zona metropolitana, el proceso toma entre 5 y 15 días hábiles desde la confirmación del pedido.","Installation time varies depending on the location and size of the project. Generally, for projects outside the metropolitan area, the process takes between 5 and 15 business days from order confirmation.",i18n
coverage.faqs.a3,"Sí, nuestro servicio de mantenimiento preventivo y correctivo está disponible en todas las ubicaciones donde realizamos instalaciones. Contamos con equipos regionales para atender cualquier necesidad.","Yes, our preventive and corrective maintenance service is available in all locations where we install. We have regional teams to address any needs.",i18n
coverage.faqs.a4,Contamos con una red de distribuidores autorizados en las principales ciudades del país. Contáctanos para verificar la disponibilidad en tu zona y conectarte con el distribuidor más cercano.,We have a network of authorized distributors in the main cities of the country. Contact us to verify availability in your area and connect you with the nearest distributor.,i18n
coverage.faqs.cta,Ver todas las preguntas,See all questions,i18n
coverage.faqs.q1,¿Realizan instalaciones en todo México?,Do you install all over Mexico?,i18n
coverage.faqs.q2,¿Cuánto tiempo tarda la instalación fuera de la zona metropolitana?,How long does installation take outside the metropolitan area?,i18n
coverage.faqs.q3,¿Ofrecen servicio de mantenimiento en todas las ubicaciones?,Do you offer maintenance service in all locations?,i18n
coverage.faqs.q4,¿Tienen distribuidores autorizados en mi ciudad?,Do you have authorized distributors in my city?,i18n
coverage.faqs.title,Preguntas Frecuentes,Frequently Asked Questions,i18n
coverage.hero.bg_text,COBERTURA,COVERAGE,i18n
coverage.hero.cta,Solicitar Cobertura,Request Coverage,i18n
coverage.hero.description,Cubrimos el 98% del territorio mexicano con puntos estratégicos en toda la República.,We cover 98% of the Mexican territory with strategic points throughout the Republic.,i18n
coverage.hero.mobile_subtitle,COBERTURA,COVERAGE,i18n
coverage.hero.title_p1,PRESENCIA ,NATIONAL ,i18n
coverage.hero.title_p2,NACIONAL,PRESENCE,i18n
coverage.hero.title_p3,", SERVICIO LOCAL",", LOCAL SERVICE",i18n
coverage.map.description,Explora nuestra presencia en cada estado de la República Mexicana. Posiciona el cursor sobre cualquier estado para más información.,Explore our presence in each state of Mexico. Hover over any state for more information.,i18n
coverage.map.title_p1,Mapa de,Coverage,i18n
coverage.map.title_p2,Cobertura,Map,i18n
coverage.regions.bajio,Bajío,Bajio,i18n
coverage.regions.center,Centro,Center,i18n
coverage.regions.north,Norte,North,i18n
coverage.regions.south,Sur,South,i18n
coverage.stats.cities,Ciudades,Cities,i18n
coverage.stats.desc,"Con presencia en más de 25 estados de la República Mexicana, llevamos soluciones de almacenamiento industrial a donde tu negocio lo necesite. Nuestro equipo de especialistas garantiza instalación profesional y soporte técnico en cada región.","With a presence in more than 25 states of the Mexican Republic, we bring industrial storage solutions to wherever your business needs it. Our team of specialists guarantees professional installation and technical support in each region.",i18n
coverage.stats.states,Estados,States,i18n
